Motivo;Severidade;Duração
Falha na transmissão provocada por queda de climatização, que atingiu o hub e afetou 36 sites de acesso da cidade e região;0.561245062938613;253.68989956339973
Instabilidade na transmissão ocasionada por vandalismo de climatização, que atingiu o agregador e afetou 88 sites de acesso da cidade e região;0.3589793804846284;283.73533099157873
Interrupção operacional provocada por interrupção de fibra ótica, duplo rompimento na rede regional no segmento repetidor da cidade joao pessoa no provedor E, Rompimento nos trecho entre os trechos ['span1', 'span11'];3.6196879653854412;212.11914219243985
Problema na transmissão ocasionada por paralisação de fibra ótica, triplo rompimento na rede longa distancia no segmento anel da cidade campo grande no provedor C, Rompimento nos trecho entre os trechos ['span4', 'span3', 'span8'];4.069183162636472;323.1425302036306
Problema operacional provocada por interrupção de climatização, que atingiu o agregador e afetou 109 sites de acesso da cidade e região;0.14287159044206266;276.86284804519784
Problema na transmissão provocada por vandalismo de fibra ótica, simples rompimento na rede metropolitana no segmento hub da cidade rio de janeeiro no provedor C, Rompimento nos trecho entre os trechos ['span3'];4.441169062554635;102.80222187723508
Instabilidade operacional devido a suspensão de fibra ótica, triplo rompimento na rede metropolitana no segmento anel da cidade cuiaba no provedor B, Rompimento nos trecho entre os trechos ['span11', 'span6', 'span2'];3.504867974152594;325.75169191077566
Interrupção operacional causada por vandalismo de roteador;1.7625108000751513;329.36870727060335
Falha operacional provocada por suspensão de energia, que atingiu o anel e afetou 166 sites de acesso da cidade e região;2.188640767280662;174.43492869343788
Instabilidade operacional causada por paralisação de fibra ótica, triplo rompimento na rede regional no segmento abordagem da cidade campo grande no provedor E, Rompimento nos trecho entre os trechos ['span11', 'span6', 'span8'];9.498070423214727;308.5010518939621
Instabilidade na transmissão causada por queda de energia, que atingiu o anel e afetou 182 sites de acesso da cidade e região;0.23800463436899522;154.874060819443
Instabilidade na transmissão causada por vandalismo de fibra ótica, duplo rompimento na rede metropolitana no segmento hub da cidade cuiaba no provedor E, Rompimento nos trecho entre os trechos ['span12', 'span1'];3.0100468209399525;206.991751296538
Falha na transmissão ocasionada por paralisação de equipamento;1.9232655992760128;207.79529056588285
Instabilidade operacional devido a interrupção de fibra ótica, duplo rompimento na rede metropolitana no segmento hub da cidade sao luis no provedor E, Rompimento nos trecho entre os trechos ['span1', 'span3'];4.068459678465374;213.35729498085377
Instabilidade na infraestrutura ocasionada por paralisação de fibra ótica, simples rompimento na rede metropolitana no segmento abordagem da cidade joao pessoa no provedor C, Rompimento nos trecho entre os trechos ['span12'];4.215182775663402;105.16778656126213
Problema na transmissão devido a queda de energia, que atingiu o repetidor e afetou 131 sites de acesso da cidade e região;1.4192249153358725;155.90966708286757
Interrupção na infraestrutura causada por paralisação de climatização, que atingiu o anel e afetou 131 sites de acesso da cidade e região;0.5376344041016273;239.41219480622885
Interrupção na transmissão provocada por interrupção de equipamento;4.975779965377224;245.57586360268624
Falha operacional provocada por interrupção de roteador;0.34288028779325863;246.59189889357276
Interrupção operacional ocasionada por paralisação de roteador;4.6566788345294405;266.8533216384546
Interrupção na transmissão ocasionada por vandalismo de fibra ótica, simples rompimento na rede regional no segmento repetidor da cidade belem no provedor B, Rompimento nos trecho entre os trechos ['span3'];4.046977272990884;107.02423785984132
Falha na infraestrutura causada por queda de fibra ótica, simples rompimento na rede regional no segmento abordagem da cidade brasilia no provedor E, Rompimento nos trecho entre os trechos ['span3'];9.407081023316621;109.27017241251318
Falha na transmissão provocada por suspensão de equipamento;4.724879908395393;110.88258717199624
Instabilidade na infraestrutura provocada por queda de climatização, que atingiu o agregador e afetou 111 sites de acesso da cidade e região;1.6795181183602637;236.23659561415656
Interrupção na transmissão devido a paralisação de energia, que atingiu o hub e afetou 112 sites de acesso da cidade e região;1.2547225061385818;130.3102471343038
Instabilidade na transmissão causada por paralisação de fibra ótica, triplo rompimento na rede metropolitana no segmento agregador da cidade brasilia no provedor C, Rompimento nos trecho entre os trechos ['span7', 'span12', 'span5'];2.8316187165001905;313.6075219725298
Problema na infraestrutura ocasionada por queda de fibra ótica, triplo rompimento na rede longa distancia no segmento hub da cidade teresina no provedor C, Rompimento nos trecho entre os trechos ['span8', 'span8', 'span11'];3.3517712387423813;319.47976171785393
Problema operacional devido a paralisação de fibra ótica, simples rompimento na rede metropolitana no segmento agregador da cidade cuiaba no provedor C, Rompimento nos trecho entre os trechos ['span1'];1.2448425440783502;113.57990341737865
Instabilidade operacional devido a suspensão de fibra ótica, simples rompimento na rede longa distancia no segmento abordagem da cidade aracaju no provedor B, Rompimento nos trecho entre os trechos ['span2'];0.804109856173143;107.18476411558397
Instabilidade na transmissão causada por interrupção de fibra ótica, triplo rompimento na rede longa distancia no segmento hub da cidade palmas no provedor C, Rompimento nos trecho entre os trechos ['span7', 'span9', 'span8'];4.845812154849893;320.9919830631605
Instabilidade na infraestrutura provocada por queda de equipamento;0.8930268327903168;324.8902229796309
